city,state,latitude,longitude
ADAK,AK,51.909499,-176.599175
AKHIOK,AK,56.948329,-154.215306
AKIACHAK,AK,60.920991,-161.402199
AKIAK,AK,60.912838,-161.216225
AKUTAN,AK,54.139971,-165.763035
ALAKANUK,AK,62.711117,-164.649661
ALATNA,AK,66.563353,-152.837612
ALCAN BORDER,AK,62.703111,-141.193921
ALEKNAGIK,AK,59.288867,-158.664457
ALENEVA,AK,58.059052,-152.909015
ALLAKAKET,AK,66.541878,-152.583009
AMBLER,AK,67.080903,-157.90558
ANAKTUVUK PASS,AK,68.149752,-151.697066
ANCHOR POINT,AK,59.763714,-151.702167
ANCHORAGE,AK,61.17425,-149.284329
ANDERSON,AK,64.308047,-149.164091
ANGOON,AK,57.441257,-134.478357
ANIAK,AK,61.57882,-159.547402
ANVIK,AK,62.63166,-160.214663
ARCTIC VILLAGE,AK,68.165277,-145.401351
ATKA,AK,52.209596,-174.213303
ATMAUTLUAK,AK,60.861238,-162.283548
ATQASUK,AK,70.480786,-157.325459
ATTU STATION,AK,52.880263,173.256091
BADGER,AK,64.805819,-147.393072
BEAR CREEK,AK,60.208064,-149.369777
BEAVER,AK,66.382802,-147.321934
BELUGA,AK,61.191347,-151.183556
BETHEL,AK,60.793903,-161.795863
BETTLES,AK,66.90686,-151.53801
BIG DELTA,AK,64.156005,-145.740935
BIG LAKE,AK,61.515547,-149.975482
BIRCH CREEK,AK,66.268333,-145.876445
BREVIG MISSION,AK,65.343109,-166.509495
BUCKLAND,AK,65.977236,-161.138619
BUFFALO SOAPSTONE,AK,61.684439,-149.121172
BUTTE,AK,61.533915,-148.987811
CANTWELL,AK,63.411402,-148.749634
CENTRAL,AK,65.539357,-144.497633
CHALKYITSIK,AK,66.646727,-143.785741
CHASE,AK,62.418236,-149.936172
CHEFORNAK,AK,60.149844,-164.259597
CHENA RIDGE,AK,64.794305,-148.032883
CHENEGA,AK,60.091907,-147.994689
CHEVAK,AK,61.529535,-165.594217
CHICKALOON,AK,61.815278,-148.292133
CHICKEN,AK,64.087693,-141.828309
CHIGNIK,AK,56.294401,-158.40306
CHIGNIK LAGOON,AK,56.304266,-158.500252
CHIGNIK LAKE,AK,56.254229,-158.782503
CHINIAK,AK,57.575497,-152.279033
CHISANA,AK,62.110039,-142.050549
CHISTOCHINA,AK,62.596444,-144.941045
CHITINA,AK,61.55188,-144.174317
CHUATHBALUK,AK,61.573919,-159.246921
CIRCLE,AK,65.790425,-144.196008
CLAM GULCH,AK,60.208887,-151.404203
CLARK'S POINT,AK,58.833005,-158.52738
COFFMAN COVE,AK,56.001661,-132.841966
COHOE,AK,60.266999,-151.298136
COLD BAY,AK,55.215322,-162.776026
